cpu_uses,memory_uses,Wi_fi_uses,disc_uses,Type
0.0,5.7327856e-05,0.0,0.0,0.0
0.0013693003,0.9952903,0.0,0.0,1.0
0.29775435,0.16508342,0.0,0.0,0.0
0.99144185,4.1998427e-07,0.0,0.0,0.0
0.0,9.3026516e-05,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.014586263,0.0,0.0,0.0
0.0,0.11067593,0.0,0.0,0.0
0.0,0.0006644151,0.0,0.0,0.0
0.0,0.0030658853,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0014377652,0.116032414,0.0,0.0,0.0
0.0013693003,0.00033766736,0.0,0.0,0.0
0.0,0.07105399,0.0,0.0,0.0
0.0,0.0003095284,0.0,0.0,0.0
0.0,0.019127343,0.0,0.0,0.0
0.0,0.0020927817,0.0,0.0,0.0
0.0,0.009681057,0.0,0.0,0.0
0.0,0.0,0.00574697,0.0,0.0
0.0,0.0030658853,0.0,0.0,0.0
0.0,0.0,0.08432765,0.0,0.0
0.97740656,4.1998427e-07,0.0,0.0,0.0
0.0,0.0020927817,0.0,0.0,0.0
0.3004245,0.16511619,0.0,0.0,0.0
0.008010407,0.99999994,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0003095284,0.0,0.0,0.0
0.0,0.017999507,1.0,0.0,0.0
0.0,0.00033766736,0.0,0.0,0.0
0.0,5.7327856e-05,0.0,0.0,0.0
0.0,0.019127343,0.0,0.0,0.0
0.0,0.014564005,0.0,0.0,0.0
0.0,9.3026516e-05,0.0,0.0,0.0
0.0,0.0,0.9575145,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.114902034,0.0,0.0,0.0
0.0,0.00033766736,0.0,0.0,0.0
0.0,0.009694707,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.019127343,0.0,0.0,0.0
0.297412,0.16512689,0.0,0.0,0.0
0.0,0.0003095284,0.0,0.0,0.0
0.0,9.3026516e-05,0.0,0.0,0.0
0.0,0.073252186,0.0,0.0,1.0
0.0,0.11065115,0.0,0.0,0.0
0.0,5.7327856e-05,0.0,0.0,0.0
0.0,0.0030658853,0.0,0.0,0.0
1.0,4.1998427e-07,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0018021525,0.0,0.0,0.0
0.0024647405,0.99886096,0.0,0.0,0.0
0.0,0.014577235,0.0,0.0,0.0
0.0,0.0006642052,0.0,0.0,0.0
0.0,0.0003095284,0.0,0.0,0.0
0.0,0.019119995,0.0,0.0,0.0
0.0,0.11626025,0.0,0.0,0.0
0.9973984,4.1998427e-07,0.0,0.0,0.0
0.0,0.009702267,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.1113645,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.00066378515,0.0,0.0,0.0
0.0,0.00033766736,0.0,0.0,0.0
0.0,0.0017557442,0.0,0.0,0.0
0.0,5.7327856e-05,0.0,0.0,0.0
0.3041216,0.16512689,0.0,0.0,0.0
0.0009585102,0.014583324,0.0,0.0,0.0
0.0,0.07254431,0.0,0.0,1.0
0.0,9.3026516e-05,0.0,0.0,0.0
0.0,0.0030658853,0.0,0.0,0.0
3.5359084e-05,0.0,0.0,0.0,0.0
4.95385e-06,0.0,0.0,0.0,0.0
0.000776748,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
9.387713e-05,0.0,0.0,0.0,0.0
0.0,0.019285187,0.083933376,0.0,0.0
0.00101791,0.0,0.0,0.0,0.0
0.0,0.0030658853,0.0,0.0,0.0
0.0062047136,0.0,0.14461477,0.0,0.0
0.0,0.0003095284,0.0,0.0,0.0
2.2365011e-08,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
1.7992652e-05,0.0,0.0,0.0,0.0
0.0,5.7327856e-05,0.0,0.0,0.0
0.0059290878,0.0,0.0,0.0,0.0
